emp_no,first_name,last_name,title,salary
10005,Kyoichi,Maliniak,Senior Staff,78228
10006,Anneke,Preusig,Senior Engineer,40000
10009,Sumant,Peac,Senior Engineer,60929
10011,Mary,Sluis,Staff,42365
10020,Mayuko,Warwick,Engineer,40000
10023,Bojan,Montemayor,Engineer,47883
10035,Alain,Chappelet,Senior Engineer,41538
10047,Zvonko,Nyanchama,Senior Engineer,54982
10051,Hidefumi,Caine,Senior Engineer,48817
10058,Berhard,McFarlin,Senior Staff,52787
10066,Kwee,Schusler,Senior Engineer,69736
10070,Reuven,Garigliano,Technique Leader,55999
10073,Shir,McClurg,Engineer,56473
10076,Erez,Ritzmann,Senior Engineer,47319
10096,Jayson,Mandell,Engineer,61395
10097,Remzi,Waschkowski,Senior Staff,44886
10100,Hironobu,Haraldson,Senior Staff,54398
10131,Magdalena,Eldridge,Engineer,48475
10152,Jaques,Munro,Engineer,40000
10153,Heekeun,Majewski,Assistant Engineer,54246
10157,Nigel,Aloisi,Senior Engineer,48770
10163,Karsten,Szmurlo,Senior Staff,41603
10166,Samphel,Siegrist,Engineer,51586
10177,Pragnesh,Iisaka,Staff,48041
10186,Shigehito,Kropatsch,Staff,40000
10196,Marc,Hellwagner,Staff,86671
10203,Steen,Escriba,Senior Staff,40000
10215,Xiaobin,Duclos,Senior Staff,43944
10219,Genta,Kolvik,Senior Staff,40000
10228,Karoline,Cesareni,Senior Staff,79474
10230,Clyde,Vernadat,Senior Staff,47531
10239,Nikolaos,Llado,Staff,65146
10240,Remko,Maccarone,Engineer,73874
10248,Frederique,Tempesti,Senior Staff,58918
10249,Marie,Boreale,Senior Engineer,72192
10258,Basil,Ishibashi,Senior Engineer,66280
10262,Mahendra,Maraist,Staff,63005
10272,Yishai,Cannane,Staff,58070
10281,Moty,Kusakari,Senior Engineer,46123
10282,Hercules,Benzmuller,Engineer,40000
10286,Saddek,Gopalakrishnan,Staff,40000
10298,Dietrich,DuCasse,Staff,40000
10302,Faiza,Baer,Senior Staff,58239
10307,Nikolaos,Leaver,Engineer,40000
10321,Guenter,Ravishankar,Staff,86819
10322,Isamu,Dahlbom,Senior Engineer,41968
10325,Arunachalam,Badr,Senior Staff,44325
10326,Masali,Czap,Staff,40000
10347,Pradeep,Kaminger,Staff,42199
10353,Phule,Hammerschmidt,Senior Staff,62656
10356,Vasilis,Standera,Senior Staff,45376
10358,Qunsheng,Tagansky,Technique Leader,63243
10363,Toshiki,Muniz,Assistant Engineer,40401
10367,Hyuckchul,Gini,Senior Staff,63565
10372,Anneli,Frijda,Technique Leader,54505
10374,Willard,Rosin,Staff,69568
10377,Marl,Grospietsch,Senior Engineer,40000
10387,Parto,Wrigley,Senior Staff,61374
10389,Make,Peir,Technique Leader,55548
10395,Takahiro,Deverell,Engineer,42774
10418,Candida,Porotnikoff,Staff,52224
10432,Hisao,Tiemann,Senior Staff,40000
10433,Reuven,Dengi,Engineer,40000
10442,Volkmar,Unno,Senior Staff,46005
10477,Guoxiang,Trogemann,Senior Engineer,55138
10486,Amstein,Kossowski,Senior Engineer,71692
10499,Maik,Luft,Senior Staff,40000
10503,Dannz,Pell,Engineer,40000
10504,Xiong,Varker,Staff,43931
10509,Abdelwaheb,Riesenhuber,Senior Staff,49292
10512,Udi,Gihr,Senior Staff,40000
10517,Tiina,Speek,Senior Staff,65330
10519,Yonghoan,Alencar,Senior Staff,40000
10522,Marke,Cesareni,Senior Staff,40000
10529,Ymte,Yetto,Assistant Engineer,47840
10531,Oguz,Gimbel,Staff,49168
10541,Godehard,Eiter,Staff,50741
10548,Ramalingam,Gunderson,Senior Staff,90631
10552,Kazuhito,Shiratori,Senior Engineer,80483
10564,Jianhao,Thisen,Senior Engineer,46660
10596,Sanjit,Coors,Senior Staff,58689
10614,Gila,Ozeri,Senior Engineer,40000
10615,Keung,Delgrande,Senior Staff,43533
10617,Hidekazu,Angel,Senior Staff,40000
10623,Aleksander,Danlos,Senior Engineer,60268
10629,Lalit,Francisci,Staff,87045
10630,Bezalel,Katzenelson,Engineer,40000
10631,Inderjeet,Chaudhuri,Engineer,40000
10636,Saeko,Porotnikoff,Staff,40904
10639,Pramod,Erol,Senior Engineer,46291
10641,Guozhong,Zucker,Engineer,41785
10653,Otmar,Feinberg,Senior Engineer,40000
10671,Parviz,Rebaine,Senior Staff,74037
10676,Valeri,Danley,Engineer,58226
10696,Unal,Fendler,Technique Leader,68913
10702,Bader,Szemeredi,Senior Engineer,46581
10718,Adib,Rullman,Senior Engineer,75473
10731,Fumitaka,Peak,Senior Staff,77892
10734,Sachar,Erdi,Engineer,47377
10742,Shim,Wiegley,Technique Leader,67405
10745,Poorav,Ranze,Senior Engineer,40000
10747,Falguni,Khalid,Senior Engineer,51538
10749,King,Brendel,Senior Engineer,60829
10750,Roddy,Demeyer,Technique Leader,40000
10751,Jordanka,Ushiama,Engineer,50052
10764,Yunming,Beetstra,Senior Engineer,70720
10767,Monique,Doering,Staff,40651
10768,Ishfaq,Candan,Senior Engineer,65717
10778,Selwyn,Merey,Senior Staff,64996
10780,Goncalo,Staudhammer,Engineer,43654
10782,Kish,Perna,Staff,40000
10791,Tadahiko,Sgarro,Senior Engineer,40000
10801,Uinam,Zschoche,Engineer,67302
10808,Chenxi,Leijenhorst,Senior Engineer,40000
10813,Shalesh,Shumilov,Senior Staff,53246
10826,Arnd,Anandan,Senior Engineer,59506
10827,Willard,Danley,Staff,58322
10830,Fen,Fiebach,Senior Staff,47420
10835,Tomoyuki,Kermarrec,Engineer,40000
10836,Jianhua,Leivant,Senior Staff,65502
10847,Theirry,Danley,Senior Staff,40000
10849,Makato,Mayerwieser,Engineer,66065
10854,Jagoda,Nannarelli,Engineer,40000
10872,Karoline,Speel,Senior Staff,40000
10876,Vincent,Papastamatiou,Staff,61389
10878,Lakshmi,Deville,Staff,72102
10882,Fun,Heuser,Engineer,40000
10883,Shimshon,Champarnaud,Engineer,40000
10887,Lunjin,DeMori,Senior Engineer,69570
10906,Munehiro,Carrere,Staff,66204
10909,Georgi,Atchley,Senior Engineer,80935
10913,Narain,Thummel,Staff,62428
10918,Susumu,Reghbati,Staff,59521
10921,Mara,Bahi,Senior Engineer,72601
10924,Hironoby,Atchley,Senior Staff,84783
10930,Arch,Minakawa,Senior Engineer,53785
10940,Aleksander,Fioravanti,Engineer,74987
10947,Gor,Usery,Senior Staff,43068
10948,Shigehito,Brodie,Senior Engineer,47252
10969,Premal,Noriega,Senior Engineer,40000
10971,Isamu,Vadhan,Technique Leader,52453
